Lake: Sihl

s = snow, when snow is on lake ice, lake frozen to ca. 90-100%
i = ice, frozen lake to ca. 90-100%
w = water, when lake has ca. 90-100% water
ms = more snow, ca. 60-90%, but a small part water
mi = more ice, ca. 60-90%, but a small part water
mw = more water, ca. 60-90%, but a small part frozen
c = clouds or fog covering all lake
u = unclear, when you cannot judge the lake state

————————————————

-9999
01.09 w
02.09 w
03.09 w
04.09 w
05.09 w
06.09 w
07.09 w
08.09 w
09.09 w
10.09 w
11.09 w
12.09 w
13.09 w
14.09 w
15.09 w
16.09 w
17.09 w
18.09 w
19.09 w
20.09 w
21.09 w
22.09 w
23.09 w
24.09 w
25.09 w
26.09 w
27.09 w
28.09 w
29.09 w
30.09 w
01.10 w
02.10 w
03.10 w
04.10 w
05.10 w
06.10 w
07.10 w
08.10 w
09.10 w
10.10 w
11.10 w
12.10 w
13.10 w
14.10 w
15.10 w
16.10 w
17.10 w
18.10 w
19.10 w
20.10 w
21.10 w
22.10 w
23.10 w
24.10 w
25.10 w
26.10 w
27.10 w
28.10 w
29.10 w
30.10 w
31.10 w
01.11 w
02.11 w
03.11 w
04.11 w
05.11 w
06.11 w
07.11 w
08.11 w
09.11 w
10.11 w
11.11 w
12.11 w
13.11 w
14.11 w
15.11 w
16.11 w
17.11 w
18.11 w
19.11 w
20.11 w
21.11 w
22.11 w
23.11 w
24.11 w
25.11 w
26.11 w
27.11 w
28.11 w
29.11 w
30.11 w
01.12 w
02.12 w
03.12 w
04.12 w
05.12 w
06.12 w
07.12 w
08.12 w
09.12 w
10.12 w
11.12 w
12.12 w
13.12 w
15.12 w
16.12 w
17.12 w
18.12 w
19.12 mw (Sentinel 2 on 18.12 was w) mi
21.12 mw (Sentinel 2 on 18.12 was w) i
22.12 mw
23.12 mw
24.12 mw
25.12 mi
26.12 i
27.12 i
29.12 i
30.12 s
31.12 s
01.01 i
02.01 i
03.01 i
04.01 i
05.01 w
06.01 w
07.01 w
08.01 mw
09.01 w
10.01 w
11.01 w
12.01 w
13.01 w
15.01 w
16.01 w
18.01 w
19.01 w
20.01 n
21.01 n
22.01 n
23.01 n
24.01 n
25.01 n
26.01 n
27.01 w
28.01 w
29.01 w
30.01 w
31.01 w
01.02 n
02.02 w
03.02 n
04.02 n
05.02 w
06.02 n
07.02 n
08.02 n
09.02 w
10.02 n
11.02 w
12.02 mw
13.02 n
14.02 i
15.02 i
16.02 n
17.02 i
18.02 i
19.02 i
20.02 i
21.02 s
22.02 n
23.02 n
24.02 n
25.02 n
26.02 n
27.02 s
28.02 s
01.03 s
02.03 s
03.03 s
04.03 n
05.03 n
06.03 n
07.03 s
08.03 i
09.03 mi
10.03 mi
11.03 mi
12.03 i
13.03 s
14.03 s
15.03 mi
16.03 mi
17.03 mi
18.03 n
19.03 n
20.03 n
21.03 n
22.03 n
23.03 mi
24.03 n
25.03 mi
26.03 n
27.03 mw/mi (Sentinel 2 few water on 28.02) i
28.03 mw/mi (Sentinel 2 few water on 28.02) mi
29.03 w
30.03 w
31.03 w
01.04 mw (Sentinel 2 water of 02.04) i
02.04 w
03.04 w
04.04 w
05.04 w
06.04 w
07.04 w
08.04 n
09.04 n
10.04 n
11.04 w
12.04 w
13.04 w
14.04 w
15.04 w
16.04 w
17.04 w
18.04 w
19.04 w
20.04 w
21.04 w
22.04 w
23.04 w
24.04 w
25.04 w
26.04 w
28.04 w
30.04 w
01.05 mi
02.05 mi
03.05 i
04.05 mi/mw
05.05 mw
06.05 mw
07.05 mw w Detected from S2
08.05 mw
09.05 mw
10.05 mw
11.05 mw
12.05 mw
13.05 mw
14.05 mw
15.05 mw
16.05 mw
17.05 mw
18.05 w
19.05 w
20.05 w
21.05 w
22.05 w
23.05 w
24.05 w
25.05 w
26.05 w
27.05 w
28.05 w
29.05 w
30.05 w
31.05 w
